,show_type,title,ori_country,genre,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,Year,Month
5167,TV Show,Locked Up,Spain,Drama,True,8.3,100.0,PAN,https://flixpatrol.com/title/locked-up,AME,2015,4
5168,Movie,The Kissing Booth 2,United Kingdom,Romance,True,6.2,28.0,PAN,https://flixpatrol.com/title/the-kissing-booth-2,AME,2020,7
5169,TV Show,Dark Desire,Mexico,Drama,True,7.5,50.52054794520548,PAN,https://flixpatrol.com/title/dark-desire,AME,2020,7
5170,Movie,MILF,France,Comedy,False,6.1,14.0,PAN,https://flixpatrol.com/title/milf-2018,AME,2018,5
5172,Movie,The Old Guard,USA,Superhero,True,8.2,80.0,PAN,https://flixpatrol.com/title/the-old-guard,AME,2020,7
5174,Movie,American Assassin,USA,Action,False,7.0,35.0,PAN,https://flixpatrol.com/title/american-assassin,AME,2017,9
5175,TV Show,Dark,Germany,Mystery,True,8.7,94.0,PAN,https://flixpatrol.com/title/dark-2017,AME,2017,12
5176,Movie,Baby Driver,USA,Action,False,7.8,92.0,PAN,https://flixpatrol.com/title/baby-driver,AME,2017,6
5178,Movie,Wonder Woman,USA,Animated,False,7.4,61.904761904761905,PAN,https://flixpatrol.com/title/wonder-woman,AME,2009,3
5180,Movie,The Emoji Movie,USA,Animated,False,1.4,8.0,PER,https://flixpatrol.com/title/the-emoji-movie,AME,2017,7
5181,TV Show,Cobra Kai,USA,Action,False,8.8,94.0,PER,https://flixpatrol.com/title/cobra-kai,AME,2018,5
5184,Movie,Escape Plan,USA,Action,False,6.8,49.0,PER,https://flixpatrol.com/title/escape-plan,AME,2013,11
5185,TV Show,Lucifer,USA,Superhero,True,8.3,87.0,PER,https://flixpatrol.com/title/lucifer,AME,2016,1
5186,Movie,Project Power,USA,Action,True,6.1,63.0,PER,https://flixpatrol.com/title/project-power,AME,2020,8
5188,Movie,Wonder,USA,Drama,False,8.0,93.0,PER,https://flixpatrol.com/title/wonder,AME,2017,11
5189,TV Show,The Seven Deadly Sins,Japan,Animation,True,8.2,71.72121212121212,PER,https://flixpatrol.com/title/the-seven-deadly-sins,AME,2014,10
5191,TV Show,Locked Up,Spain,Drama,True,8.3,100.0,PER,https://flixpatrol.com/title/locked-up,AME,2015,4
5192,Movie,The Kissing Booth 2,United Kingdom,Romance,True,6.2,28.0,PER,https://flixpatrol.com/title/the-kissing-booth-2,AME,2020,7
5193,TV Show,Dark Desire,Mexico,Drama,True,7.5,50.52054794520548,PER,https://flixpatrol.com/title/dark-desire,AME,2020,7
5194,Movie,Spider-Man: Homecoming,USA,Superhero,False,7.5,92.0,PER,https://flixpatrol.com/title/spider-man-homecoming,AME,2017,7
5196,Movie,The Old Guard,USA,Superhero,True,8.2,80.0,PER,https://flixpatrol.com/title/the-old-guard,AME,2020,7
5198,Movie,American Assassin,USA,Action,False,7.0,35.0,PER,https://flixpatrol.com/title/american-assassin,AME,2017,9
5199,TV Show,Dark,Germany,Mystery,True,8.7,94.0,PER,https://flixpatrol.com/title/dark-2017,AME,2017,12
5200,Movie,Baby Driver,USA,Action,False,7.8,92.0,PER,https://flixpatrol.com/title/baby-driver,AME,2017,6
5202,Movie,Wonder Woman,USA,Animated,False,7.4,61.904761904761905,PER,https://flixpatrol.com/title/wonder-woman,AME,2009,3
5204,Movie,Anna,France,Action,False,6.6,64.0,PHL,https://flixpatrol.com/title/anna-2019,ASI,2019,6
5206,Movie,Pandemic,USA,Science Fiction,False,4.6,43.0,PHL,https://flixpatrol.com/title/pandemic,ASI,2016,2
5209,TV Show,Lucifer,USA,Superhero,True,8.3,87.0,PHL,https://flixpatrol.com/title/lucifer,ASI,2016,1
5210,Movie,Project Power,USA,Action,True,6.1,63.0,PHL,https://flixpatrol.com/title/project-power,ASI,2020,8
5211,TV Show,It's Okay to Not Be Okay,South Korea,Drama,True,9.0,0.0,PHL,https://flixpatrol.com/title/its-okay-to-not-be-okay,ASI,2020,6
5212,Movie,Ocean's 8,USA,Crime,False,6.2,31.80110497237569,PHL,https://flixpatrol.com/title/oceans-8,ASI,2018,6
5216,Movie,The Kissing Booth 2,United Kingdom,Romance,True,6.2,28.0,PHL,https://flixpatrol.com/title/the-kissing-booth-2,ASI,2020,7
5218,Movie,The Old Guard,USA,Superhero,True,8.2,80.0,PHL,https://flixpatrol.com/title/the-old-guard,ASI,2020,7
5224,Movie,Ordinary People,Philippines,Drama,False,7.5,50.52054794520548,PHL,https://flixpatrol.com/title/ordinary-people-2016,ASI,2016,8
5226,Movie,Jumanji: The Next Level,USA,Adventure,False,7.0,67.0,PHL,https://flixpatrol.com/title/jumanji-the-next-level,ASI,2019,12
5228,Movie,Sniper: Ultimate Kill,USA,Action,False,5.6,24.184782608695652,PHL,https://flixpatrol.com/title/sniper-ultimate-kill,ASI,2017,10
5229,TV Show,The King: Eternal Monarch,South Korea,Fantasy,True,8.7,83.80722891566265,PHL,https://flixpatrol.com/title/the-king-eternal-monarch,ASI,2020,4
5230,Movie,365 Days,Poland,Romance,False,3.5,0.0,PHL,https://flixpatrol.com/title/365-days,ASI,2020,6
5232,Movie,Ghost Ship,USA,Horror,False,5.5,53.26470588235294,PHL,https://flixpatrol.com/title/ghost-ship,ASI,2002,10
5234,Movie,X-Men: Apocalypse,USA,Superhero,False,7.2,48.0,PHL,https://flixpatrol.com/title/x-men-apocalypse,ASI,2016,5
5236,Movie,Rampage,USA,Adventure,False,6.4,42.30769230769231,PHL,https://flixpatrol.com/title/rampage,ASI,1987,9
5238,Movie,The 15:17 to Paris,USA,Thriller,False,5.0,16.035714285714285,PHL,https://flixpatrol.com/title/the-1517-to-paris,ASI,2018,2
5240,Movie,The Angry Birds Movie 2,USA,Animated,False,6.5,73.0,PHL,https://flixpatrol.com/title/the-angry-birds-movie-2,ASI,2019,8
5241,Documentary TV,The Last Dance,USA,Documentary,True,9.4,97.0,PHL,https://flixpatrol.com/title/the-last-dance,ASI,2020,4
5242,Movie,Extraction,USA,Action,True,7.0,68.0,PHL,https://flixpatrol.com/title/extraction-2020,ASI,2020,4
5243,TV Show,Never Have I Ever,USA,Comedy,True,7.8,98.0,PHL,https://flixpatrol.com/title/never-have-i-ever,ASI,2020,4
5245,TV Show,Outer Banks,USA,Mystery,True,8.0,70.0,PHL,https://flixpatrol.com/title/outer-banks,ASI,2020,4
5246,Movie,"Love, Guaranteed",USA,Comedy,True,5.5,50.0,POL,https://flixpatrol.com/title/love-guaranteed,EUR,2020,9
5247,TV Show,Away,USA,Science Fiction,True,7.1,73.0,POL,https://flixpatrol.com/title/away-2020,EUR,2020,9
5249,TV Show,Lucifer,USA,Superhero,True,8.3,87.0,POL,https://flixpatrol.com/title/lucifer,EUR,2016,1
5252,Movie,Project Power,USA,Action,True,6.1,63.0,POL,https://flixpatrol.com/title/project-power,EUR,2020,8
5253,TV Show,The Umbrella Academy,USA,Superhero,True,8.3,82.0,POL,https://flixpatrol.com/title/the-umbrella-academy,EUR,2019,2
5254,Movie,Work It,USA,Comedy,True,6.1,47.11797752808989,POL,https://flixpatrol.com/title/work-it-2020,EUR,2020,8
5256,Movie,The Kissing Booth 2,United Kingdom,Romance,True,6.2,28.0,POL,https://flixpatrol.com/title/the-kissing-booth-2,EUR,2020,7
5259,TV Show,Cursed,USA,Fantasy,True,5.1,69.0,POL,https://flixpatrol.com/title/cursed-2020,EUR,2020,7
5262,Movie,The Old Guard,USA,Superhero,True,8.2,80.0,POL,https://flixpatrol.com/title/the-old-guard,EUR,2020,7
5265,TV Show,Warrior Nun,USA,Fantasy,True,6.9,51.81,POL,https://flixpatrol.com/title/warrior-nun,EUR,2020,7
5266,Movie,Eurovision Song Contest: The Story of Fire Saga,USA,Comedy,True,7.8,63.0,POL,https://flixpatrol.com/title/eurovision-song-contest-the-story-of-fire-saga,EUR,2020,6
5267,TV Show,Dark,Germany,Mystery,True,8.7,94.0,POL,https://flixpatrol.com/title/dark-2017,EUR,2017,12
5268,Movie,Playing Hard,Poland,Drama,False,6.4,42.30769230769231,POL,https://flixpatrol.com/title/playing-hard-2019,EUR,2019,1
5269,TV Show,The Woods,USA,Crime,True,6.5,38.16,POL,https://flixpatrol.com/title/the-woods-2020,EUR,2020,6
5273,TV Show,13 Reasons Why,USA,Drama,True,8.4,39.0,POL,https://flixpatrol.com/title/13-reasons-why,EUR,2017,3
5275,TV Show,Space Force,USA,Comedy,True,7.0,41.0,POL,https://flixpatrol.com/title/space-force,EUR,2020,5
5276,Movie,Harry Potter and the Chamber of Secrets,United Kingdom,Fantasy,False,7.4,82.0,POL,https://flixpatrol.com/title/harry-potter-and-the-chamber-of-secrets,EUR,2002,11
5277,TV Show,Dynasty,USA,Drama,True,5.9,80.0,POL,https://flixpatrol.com/title/dynasty-2017,EUR,2017,10
5278,Movie,Harry Potter and the Philosopher's Stone,United Kingdom,Fantasy,False,7.5,50.52054794520548,POL,https://flixpatrol.com/title/harry-potter-and-the-philosophers-stone,EUR,2001,11
5279,Documentary TV,The Last Dance,USA,Documentary,True,9.4,97.0,POL,https://flixpatrol.com/title/the-last-dance,EUR,2020,4
5280,Movie,The Wrong Missy,USA,Comedy,True,5.6,25.0,POL,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5
5282,Movie,Rich in Love,Brazil,Comedy,True,5.8,26.210526315789473,POL,https://flixpatrol.com/title/rich-in-love,EUR,2020,4
5283,TV Show,Into the Night,Belgium,Science Fiction,True,7.2,76.0,POL,https://flixpatrol.com/title/into-the-night-2020,EUR,2020,5
5284,Movie,Extraction,USA,Action,True,7.0,68.0,POL,https://flixpatrol.com/title/extraction-2020,EUR,2020,4
5285,TV Show,Never Have I Ever,USA,Comedy,True,7.8,98.0,POL,https://flixpatrol.com/title/never-have-i-ever,EUR,2020,4
5286,Movie,Skyscraper,USA,Action,False,6.1,48.0,POL,https://flixpatrol.com/title/skyscraper,EUR,2018,7
5287,TV Show,Too Hot to Handle,USA,Reality-Show,True,4.2,37.0,POL,https://flixpatrol.com/title/too-hot-to-handle,EUR,2020,4
5289,TV Show,Money Heist,Spain,Action,True,8.4,93.0,POL,https://flixpatrol.com/title/money-heist,EUR,2017,5
5290,Movie,365 Days,Poland,Romance,False,3.5,0.0,POL,https://flixpatrol.com/title/365-days,EUR,2020,6
5293,TV Show,Toy Boy,Spain,Crime,True,6.5,38.16,POL,https://flixpatrol.com/title/toy-boy-2019,EUR,2019,9
5294,Movie,Nobody Sleeps In The Woods Tonight,Poland,Horror,False,6.65,73.0,POL,https://flixpatrol.com/title/nobody-sleeps-in-the-woods-tonight,EUR,2020,3
