,Title,Type,Premiere,Genre,WM
423,Our Planet,TV Show,2019.0,Documentary,40.1
424,H2O: Just Add Water,TV Show,2006.0,Drama,40.0
425,The King: Eternal Monarch,TV Show,2020.0,Science Fiction,39.9
426,The Office,TV Show,2005.0,Comedy,39.9
427,Grey's Anatomy,TV Show,2005.0,Drama,39.8
428,Emergency: NYC,TV Show,2023.0,Documentary,39.7
429,In the Name of God: A Holy Betrayal,TV Show,2023.0,Documentary,39.7
430,Better Call Saul,TV Show,2015.0,Crime,39.5
431,Gabby's Dollhouse,TV Show,2021.0,Animation,39.5
432,Infiesto,Movie,2023.0,Crime,39.5
433,Sanctuary,TV Show,2023.0,Drama,39.4
434,Suits,TV Show,2011.0,Drama,39.4
435,Ganglands,TV Show,2021.0,Action,39.3
436,The Hunger Games,Movie,2012.0,Science Fiction,39.3
437,Trolley,TV Show,2022.0,Thriller,39.2
438,High Heat,TV Show,2022.0,Crime,39.1
439,Rosario Tijeras,TV Show,2016.0,Action,38.9
440,The Sinner,TV Show,2017.0,Crime,38.9
441,Avatar: The Last Airbender,TV Show,2005.0,Fantasy,38.7
442,Ozark,TV Show,2017.0,Drama,38.7
443,Shark Tale,Movie,2004.0,Animation,38.7
444,The Hatchet Wielding Hitchhiker,Movie,2023.0,Documentary,38.7
445,6 Underground,Movie,2019.0,Action,38.6
446,Better Call Saul,TV Show,2015.0,Crime,38.6
447,Narcos,TV Show,2015.0,Drama,38.6
448,Grey's Anatomy,TV Show,2005.0,Drama,38.4
449,Mother's Day,Movie,2023.0,Action,38.3
450,Orange Is the New Black,TV Show,2013.0,Drama,38.3
451,Vikings,TV Show,2013.0,History,38.3
452,El Chapo,TV Show,2017.0,Drama,38.2
453,Brooklyn Nine-Nine,TV Show,2013.0,Comedy,38.1
454,Queer Eye,TV Show,2018.0,Reality-Show,38.1
455,Schlafende Hunde,TV Show,2023.0,Crime,38.0
456,The Big Bang Theory,TV Show,2007.0,Comedy,38.0
457,The Good Doctor,TV Show,2017.0,Drama,38.0
458,Cúmplices de um Resgate,TV Show,2015.0,Comedy,37.8
459,The Big Bang Theory,TV Show,2007.0,Comedy,37.8
460,The Flash,TV Show,2014.0,Superhero,37.7
461,The Good Doctor,TV Show,2017.0,Drama,37.7
462,Back to the Outback,Movie,2021.0,Animation,37.6
463,Booba,TV Show,2014.0,Animation,37.6
464,The Big Bang Theory,TV Show,2007.0,Comedy,37.6
465,Vikings,TV Show,2013.0,History,37.6
466,As Aventuras de Poliana,TV Show,2018.0,Drama,37.5
467,The Big Bang Theory,TV Show,2007.0,Comedy,37.4
468,The Rookie,TV Show,2018.0,Crime,37.4
469,Fauda,TV Show,2015.0,Action,37.3
470,Mr. Sunshine,TV Show,2018.0,History,37.3
471,2 Guns,Movie,2013.0,Action,37.1
472,"Lyle, Lyle, Crocodile",Movie,2022.0,Family,37.1
473,Money Heist,TV Show,2017.0,Action,37.1
474,Outlander,TV Show,2014.0,Drama,37.1
475,Queens on the Run,Movie,2023.0,Comedy,37.1
476,Shameless,TV Show,2011.0,Comedy,37.1
477,S.W.A.T.,TV Show,2017.0,Crime,37.0
478,The Mitchells vs. The Machines,Movie,2021.0,Animation,36.9
479,Peaky Blinders,TV Show,2013.0,Drama,36.9
480,Seinfeld,TV Show,1989.0,Comedy,36.9
481,PJ Masks,TV Show,2015.0,Animation,36.7
482,Amar y Vivir,TV Show,2020.0,Drama,36.6
483,Glamorous,TV Show,2023.0,Drama,36.6
484,Meekah,TV Show,2022.0,Animation,36.6
485,Peaky Blinders,TV Show,2013.0,Drama,36.6
486,Troll,Movie,2022.0,Science Fiction,36.6
487,Rebelde Way,TV Show,2002.0,Comedy,36.5
